charity_id,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
0,89,164590,9to5 National Association of Working Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961,Milwaukee,nan,53463,3.11,Executive Director,349718,90.56,111522,1350382,Human and Civil Rights : Advocacy and Education ,49634,89.75,0,1440463,WI,1999023
1,86,1001560,'Aha Pūnana Leo,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012,Hilo,nan,73500,1.47,Executive Director,1175965,85.92,54613,14773920,Education : Early Childhood Programs and Services ,382540,85.95,0,3912270,HI,3339358
2,85,93957,AID FOR AIDS International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185,New York,nan,85000,0.99,Executive Director,-461502,77.65,248833,-770370,International : Development and Relief Services ,0,80.96,0,8157850,NY,8039138
3,86,346867,Futures in Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17169,Brooklyn,nan,61220,0.78,Acting Executive Director,1872733,97.5,384550,11460087,"Education : Scholarship and Financial Support , ",-81726,89.94,0,7018262,NY,9704138
4,97,135195,Every Generation Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14080,Temecula,nan,74244,5.41,President,-103940,87.08,87436,723772,Religion : Religious Activities ,32436,90.62,0,1148407,CA,1234662
5,100,505751,Futures Without Violence,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6436,San Francisco,nan,312498,2.85,President & Founder,1931497,93.14,377933,40621685,Human and Civil Rights : Advocacy and Education ,320916,95.14,0,10059539,CA,12355178
6,89,103173,Gwinnett Habitat for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11467,Stone Mountain,nan,85665,7.27,Executive Director,-126216,99.94,49542,3579208,Community Development : Housing and Neighborhood Development ,-13057,92.22,33556,1024283,GA,536485
7,100,663845,Izaak Walton League of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8974,Gaithersburg,nan,154999,6.01,Executive Director,-294094,79.94,218404,7474607,Environment : Environmental Protection and Conservation ,101537,85.81,0,1695556,MD,2170503
8,100,77155,"It's The Journey, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11793,Atlanta,nan,110110,7.36,Executive Director,107849,89.98,76939,808446,"Health : Medical Research , ",10299,92.91,0,1340579,GA,1473462
9,89,200643,Issaquah Schools Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15427,Bellevue,nan,98048,5.89,Executive Director,-59227,78.66,238249,1173256,"Education : Scholarship and Financial Support , ",29857,83.02,0,1225020,WA,1574828
10,93,611779,Hydrocephalus Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11367,Bethesda,nan,200000,5.02,CEO,714966,84.82,562998,3645570,"Health : Diseases, Disorders, and Disciplines ",47177,88.17,0,2805884,MD,4595007
11,85,177985,Hyde Park Art Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15747,Chicago,nan,,,nan,-91315,90.27,255073,6368885,"Arts, Culture, Humanities : Museums ",3505,87.35,0,1728407,IL,1287542
12,89,359125,The Hyde Collection,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11456,Glens Falls,nan,73138,4.14,Director,2131553,81.78,184263,24114195,"Arts, Culture, Humanities : Museums ",718853,84.95,0,1222660,NY,3051056
13,89,168553,Huntsville Symphony Orchestra,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14797,Huntsville,nan,82500,4.51,"President, CEO",-3753,75.39,147873,131009,"Arts, Culture, Humanities : Performing Arts ",30692,80.93,0,1512485,AL,1044160
14,100,940855,Huntington's Disease Society of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13075,New York,nan,264026,3.28,Chief Executive Officer,537310,87.34,853135,4553274,"Health : Diseases, Disorders, and Disciplines ",16889,91.04,0,6247620,NY,8562031
15,100,119743,Huron River Watershed Council,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16855,Ann Arbor,nan,104945,6.73,Executive Director,29518,91.9,136818,1028525,Environment : Environmental Protection and Conservation ,4345,94.27,0,1302535,MI,1063890
16,89,83378,Byrnes Health Education Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12426,York,nan,89280,7.86,"President, CEO",-22834,83.8,162845,5209352,Health : Treatment and Prevention Services ,140551,86.15,0,888514,PA,809534
17,89,548733,Huntsville Botanical Garden,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17198,Huntsville,nan,151680,4.51,CEO,7440415,90.95,98906,18192084,"Environment : Botanical Gardens, Parks, and Nature Centers ",248250,89.92,0,2712221,AL,10103153
18,81,204621,Huntsville Museum of Art,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14766,Huntsville,nan,150988,6.53,Executive Director,66429,73.91,344880,97615,"Arts, Culture, Humanities : Museums ",26406,77.17,0,1760358,AL,1985118
19,93,18026507,Cystic Fibrosis Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9142,Bethesda,nan,496970,0.19,"President, CEO",-44527665,97.35,18419757,3679424528,"Health : Diseases, Disorders, and Disciplines ,This rating represents consolidated financial data for these organizations:",89274989,94.7,0,221903338,MD,122210533
20,85,68569,Curious Theatre Company,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13445,Denver,nan,,,nan,74817,74.6,134783,584693,"Arts, Culture, Humanities : Performing Arts ",-11920,79.14,0,1000940,CO,861035
21,100,336234,Cure SMA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12524,Elk Grove Village,nan,182099,2.4,President,307259,78.2,1009256,2695113,"Health : Diseases, Disorders, and Disciplines ",673000,84.58,0,6220527,IL,5818435
22,96,385923,CurePSP,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9827,New York,nan,193846,6.14,President,71600,86.36,522075,2226006,Health : Medical Research ,2965,89.94,0,2244223,NY,3119335
23,100,838660,CURE International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5545,New Cumberland,nan,168480,0.24,"President, CEO",-14162177,92.5,3327969,102655210,International : Development and Relief Services ,707769,94.69,0,65695537,PA,23035192
24,82,416919,Dégagé Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12604,Grand Rapids,nan,72079,3.89,Executive Director,-27245,89.5,63375,2144882,Human Services : Homeless Services ,-24976,85.26,0,1371628,MI,1737373
25,100,152412,Cystinosis Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12069,Irvine,nan,,,Chair,1820010,86.88,600799,4522420,"Health : Medical Research , ",38599,90.72,0,2284337,CA,4818959
26,100,124005,dZi Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12599,Ridgway,nan,77762,6.09,President,166629,94.64,164621,2000106,International : Development and Relief Services ,-10572,96.2,0,987277,CO,1453104
27,96,77735,Dystrophic Epidermolysis Bullosa Research Association of America (debra of America),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11965,New York,nan,153012,9.46,Executive Director,-8398,94.71,169908,2775860,"Health : Diseases, Disorders, and Disciplines ",857985,95.31,0,1368684,NY,749944
28,100,552261,CuriOdyssey,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12769,San Mateo,nan,147578,3.37,Executive Director,2682302,81.16,1052723,15706277,"Arts, Culture, Humanities : Museums ",603495,86.67,0,2769811,CA,5578134
29,100,163132,Dystonia Medical Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6640,Chicago,nan,144894,5.86,Executive Director,2655471,83.97,268624,4434900,Health : Medical Research ,15833,88.66,0,2038421,IL,5109815
30,89,201970,24 Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235,Charlotte,nan,69731,2.25,Executive Director,-928932,80,144269,-427225,Health : Medical Research ,7134,83.85,0,2741091,NC,1999290
31,100,1418750,Dumb Friends League,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3610,Denver,nan,302320,1.64,President,-1551599,89.94,2463940,70125179,"Animals : Animal Rights, Welfare, and Services ",2788674,92.88,0,14526815,CO,12195279
32,100,1337698,Durham Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8985,Durham,nan,148024,0.71,Chief Executive Officer,-8027987,100,574279,15582886,Human Services : Homeless Services ,4340235,100,0,18843152,NC,7897648
33,93,462033,Dutchess County SPCA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6764,Hyde Park,nan,41686,1.9,Former Executive Director,-673663,86.19,113929,6009181,"Animals : Animal Rights, Welfare, and Services ",258802,89.05,0,1609406,NY,748227
