key,city,state,Lat,Lng
1,Anchorage,AK,61.2180556,-149.9002778
2,Bethel,AK,37.2518524,-95.2314827
3,Fairbanks,AK,64.8377778,-147.7163888
4,Juneau,AK,58.3019444,-134.4197221
5,Kenai,AK,60.5544444,-151.2583333
6,Soldotna,AK,60.4877778,-151.0583332
7,Wasilla,AK,61.5808763,-149.4410598
8,Alexander City,AL,32.944012,-85.9538532
9,Anniston,AL,33.6598257,-85.8316318
10,Atmore,AL,31.0237921,-87.4938708
11,Auburn,AL,32.6098566,-85.4807825
12,Bessemer,AL,51.4664459,-3.1979214
13,Birmingham,AL,52.486243,-1.890401
14,Chelsea,AL,41.4777843,19.5623193
15,Columbiana,AL,40.7902581,-80.7657804
16,Decatur,AL,33.7748275,-84.2963123
17,Dothan,AL,31.2232313,-85.3904888
18,Fairfield,AL,41.2559654,-73.3708696
19,Foley,AL,51.5193601,-0.1404257
20,Gadsden,AL,34.014264,-86.0066386
21,Huntsville,AL,34.7303688,-86.5861037
22,Irondale,AL,33.5381601,-86.7072102
23,Lineville,AL,33.3106696,-85.7544051
24,Mobile,AL,41.3213622,19.805832
25,Montgomery,AL,32.3792233,-86.3077368
26,Opelika,AL,32.6454116,-85.3782795
27,Springville,AL,40.1652335,-111.6107526
28,Talladega,AL,33.4359416,-86.1058048
29,Theodore,AL,39.6683946,20.8442162
30,Thorsby,AL,53.2273035,-114.0481118
31,Tuscaloosa,AL,33.2098407,-87.5691735
32,Batesville,AR,39.3000511,-85.222184
33,Bethel Heights,AR,36.2142438,-94.1293698
34,Conway,AR,-34.531805,-58.505856
35,Fayatteville,AR,35.0526641,-78.8783585
36,Fayetteville,AR,35.0526641,-78.8783585
37,Fayetville,AR,35.0526641,-78.8783585
38,Fort Smith,AR,35.3859242,-94.3985475
39,Harrison,AR,40.9700171,-73.7176337
40,Hatfield,AR,51.763366,-0.22309
41,Hot Springs,AR,34.5037004,-93.0551795
42,Little Rock,AR,34.7464809,-92.2895948
43,Lowell,AR,42.6334247,-71.3161718
44,Mountain Home,AR,43.1329504,-115.6911975
45,Norfork,AR,36.2095132,-92.284323
46,Paragould,AR,36.0584021,-90.4973286
47,Pine Bluff,AR,34.2284312,-92.0031955
48,Searcy,AR,35.2468204,-91.7336846
49,Springdale,AR,36.1867442,-94.1288141
50,Texarkana,AR,33.425125,-94.0476882
51,Camp Verde,AZ,34.5636358,-111.8543178
52,Cave Creek,AZ,33.8333716,-111.9507042
